Symbol ,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded 
MMM ,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",27981,66740,1902
ABT ,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",23467,1800,1888
ABBV ,AbbVie Inc.,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",41274,1551152,2013 (1888) 
ABMD ,Abiomed,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",43251,815094,1981
ACN ,Accenture,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",40730,1467373,1989
ATVI ,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",42247,718877,2008
ADBE ,Adobe Inc.,reports,Information Technology,Application Software,"San Jose, California",35555,796343,1982
AMD ,Advanced Micro Devices,reports,Information Technology,Semiconductors,"Santa Clara, California",42814,2488,1969
AAP ,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",42194,1158449,1932
AES ,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",36070,874761,1981
AFL ,Aflac,reports,Financials,Life & Health Insurance,"Columbus, Georgia",36308,4977,1955
A ,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",36682,1090872,1999
APD ,Air Products & Chemicals,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",31167,2969,1940
AKAM ,Akamai Technologies,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",39275,1086222,1998
ALK ,Alaska Air Group,reports,Industrials,Airlines,"Seattle, Washington",42503,766421,1985
ALB ,Albemarle Corporation,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",42552,915913,1994
ARE ,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,"Pasadena, California",42814,1035443,1994
ALXN ,Alexion Pharmaceuticals,reports,Health Care,Pharmaceuticals,"Boston, Massachusetts",41054,899866,1992
ALGN ,Align Technology,reports,Health Care,Health Care Supplies,"San Jose, California",42905,1097149,1997
ALLE ,Allegion,reports,Industrials,Building Products,"Dublin, Ireland",41610,1579241,1908
LNT ,Alliant Energy,reports,Utilities,Electric Utilities,"Madison, Wisconsin",42552,352541,1917
ALL ,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",34893,899051,1931
GOOGL ,Alphabet Inc. (Class A),reports,Communication Services,Interactive Media & Services,"Mountain View, California",41732,1652044,1998
GOOG ,Alphabet Inc. (Class C),reports,Communication Services,Interactive Media & Services,"Mountain View, California",38810,1652044,1998
MO ,Altria Group Inc,reports,Consumer Staples,Tobacco,"Richmond, Virginia",20883,764180,1985
AMZN ,Amazon.com Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",38674,1018724,1994
AMCR ,Amcor,reports,Materials,Paper Packaging,"Zurich, Switzerland",43623,1748790,2019 (1860) 
AEE ,Ameren Corp,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",33500,1002910,1902
AAL ,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",42086,6201,1934
AEP ,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",20883,4904,1906
AXP ,American Express,reports,Financials,Consumer Finance,"New York, New York",27941,4962,1850
AIG ,American International Group,reports,Financials,Property & Casualty Insurance,"New York, New York",29311,5272,1919
AMT ,American Tower Corp.,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",39405,1053507,1995
AWK ,American Water Works,reports,Utilities,Water Utilities,"Camden, New Jersey",42433,1410636,1886
AMP ,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",38628,820027,1894
ABC ,AmerisourceBergen,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",37133,1140859,1985
AME ,Ametek,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",41540,1037868,1930
AMGN ,Amgen Inc.,reports,Health Care,Biotechnology,"Thousand Oaks, California",33605,318154,1980
APH ,Amphenol Corp,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",39721,820313,1932
ADI ,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,"Norwood, Massachusetts",36445,6281,1965
ANSS ,"ANSYS, Inc.",reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",42905,1013462,1969
ANTM ,Anthem,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",37462,1156039,2014 (1946) 
AON ,Aon plc,reports,Financials,Insurance Brokers,"London, United Kingdom",35178,315293,1982 (1919) 
AOS ,A.O. Smith Corp,reports,Industrials,Building Products,"Milwaukee, Wisconsin",42942,91142,1916
APA ,Apache Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",35639,6769,1954
AAPL ,Apple Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",30285,320193,1977
AMAT ,Applied Materials Inc.,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",34774,6951,1967
APTV ,Aptiv PLC,reports,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",41267,1521332,1994
ADM ,Archer-Daniels-Midland Co,reports,Consumer Staples,Agricultural Products,"Chicago, Illinois",29796,7084,1902
ANET ,Arista Networks,reports,Information Technology,Communications Equipment,"Santa Clara, California",43340,1596532,2004
AJG ,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Rolling Meadows, Illinois",42521,354190,1927
AIZ ,Assurant,reports,Financials,Multi-line Insurance,"New York, New York",39182,1267238,1892
T ,AT&T Inc.,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),732717,1983 (1885) 
ATO ,Atmos Energy,reports,Utilities,Gas Utilities,"Dallas, Texas",43511,731802,1906
