,Date,ShortVolume,TotalVolume
0,20200102,1410241594.0,2880954500.0
1,20200103,1249881574.0,2590513293.0
2,20200106,1325479822.0,2813553987.0
3,20200107,1208343926.0,2568503952.0
4,20200108,1312611996.0,2760216863.0
5,20200109,1271092912.0,2680648835.0
6,20200110,1177789481.0,2480798716.0
7,20200113,1227690444.0,2628920218.0
8,20200114,1282529642.0,2733891969.0
9,20200115,1318740237.0,2771972948.0
10,20200116,1198729846.0,2559914468.0
11,20200117,1249897178.0,2591636068.0
12,20200121,1361044530.0,2917134383.0
13,20200122,1272930982.0,2700218020.0
14,20200123,1256042776.0,2685169718.0
15,20200124,1419693527.0,2928708715.0
16,20200127,1251575074.0,2709751755.0
17,20200128,1166759841.0,2449408047.0
18,20200129,1199187799.0,2485931858.0
19,20200130,1248965199.0,2650538138.0
20,20200131,1359529227.0,2835439278.0
21,20200203,1220961677.0,2626212513.0
22,20200204,1267420978.0,2822100720.0
23,20200205,1240371276.0,2734193911.0
24,20200206,1186250489.0,2547321717.0
25,20200207,1183538997.0,2532568309.0
26,20200210,1107972525.0,2410930088.0
27,20200211,1252317269.0,2724273908.0
28,20200212,1266875751.0,2782673603.0
29,20200213,1158015455.0,2514810677.0
30,20200214,1162539084.0,2458967759.0
31,20200218,1196927183.0,2598945048.0
32,20200219,1253646454.0,2750862384.0
33,20200220,1394502903.0,3066039203.0
34,20200221,1366302783.0,2890109048.0
35,20200224,1672878976.0,3566517914.0
36,20200225,1884810576.0,4027074579.0
37,20200226,1855842800.0,3953718790.0
38,20200227,2207277514.0,5038395629.0
39,20200228,2530000694.0,5721504632.0
40,20200302,2025108333.0,4303013619.0
41,20200303,1974501034.0,4233013185.0
42,20200304,1732046837.0,3749728585.0
43,20200305,1903623203.0,3886160323.0
44,20200306,2156653668.0,4522204286.0
45,20200309,2677790053.0,5846085483.0
46,20200310,2438894069.0,5501516178.0
47,20200311,2248934159.0,4890104047.0
48,20200312,2743405375.0,6530494772.0
49,20200313,2409115165.0,5781852277.0
50,20200316,2318626022.0,5593378945.0
