Index,Symbol,Win%,ExpectedValue,TotalEvents,PnL
0,MMM,0.66,0.18,44,7.86
1,ABT,0.65,-0.59,48,-28.08
2,ABBV,0.66,0.01,44,0.54
3,ABMD,0.67,-0.04,43,-1.84
4,ACN,0.62,-1.2,48,-57.67
5,ATVI,0.68,-0.03,40,-1.25
6,ADBE,0.82,4.51,44,198.54
7,AMD,0.76,0.87,38,33.02
8,AAP,0.62,-0.05,42,-2.03
9,AES,0.8,0.12,44,5.08
10,AFL,0.59,0.06,49,3.15
11,A,0.78,0.59,41,24.37
12,APD,0.56,-1.88,48,-90.33
13,AKAM,0.84,1.36,37,50.28
14,ALK,0.72,0.66,40,26.35
15,ALB,0.63,-0.37,52,-19.48
16,ARE,0.66,-0.04,50,-1.82
17,ALXN,0.64,0.26,39,10.22
18,ALGN,0.69,1.39,42,58.38
19,ALLE,0.58,-0.61,45,-27.51
20,LNT,0.52,-0.5,46,-22.84
21,ALL,0.56,-0.24,48,-11.57
22,GOOGL,0.71,5.97,49,292.75
23,GOOG,0.74,7.66,46,352.16
24,MO,0.63,-0.08,49,-4
25,AMZN,0.83,30.62,35,1071.56
26,AMCR,0.64,0,53,0.13
27,AEE,0.59,-0.5,46,-23.06
28,AAL,0.64,-0.02,39,-0.87
29,AEP,0.57,-0.59,40,-23.68
30,AXP,0.72,0.54,39,21.23
31,AIG,0.67,0.27,51,14.01
32,AMT,0.58,-2.52,45,-113.18
33,AWK,0.59,-0.19,39,-7.39
34,AMP,0.65,-0.65,54,-35.12
35,ABC,0.62,-0.16,45,-7
36,AME,0.77,0.6,44,26.33
37,AMGN,0.68,0.51,40,20.53
38,APH,0.76,0.88,51,44.71
39,ADI,0.68,0.15,47,7.16
40,ANSS,0.77,1.91,47,89.55
41,ANTM,0.6,0.75,52,39.1
42,AON,0.57,-1,42,-42.16
43,AOS,0.66,0.06,44,2.51
44,APA,0.53,-0.1,45,-4.32
45,AAPL,0.69,-0.1,42,-4.01
46,AMAT,0.7,-0.11,46,-4.99
47,APTV,0.69,0.15,54,7.92
48,ADM,0.75,0.18,52,9.35
49,ANET,0.68,1.06,38,40.21
50,AJG,0.76,0.03,46,1.37
51,AIZ,0.6,-0.82,45,-36.99
52,T,0.5,-0.36,46,-16.74
53,ATO,0.62,-0.5,42,-21.06
54,ADSK,0.77,1.18,44,51.8
55,ADP,0.53,-2.11,47,-99.34
56,AZO,0.68,1.07,41,43.96
57,AVB,0.76,1.3,45,58.5
58,AVY,0.7,0.44,43,19.13
59,BKR,0.78,0.26,41,10.52
60,BLL,0.66,-0.2,44,-8.84
61,BAC,0.63,-0.16,43,-6.9
62,BK,0.63,-0.07,46,-3.18
63,BAX,0.6,0.1,52,5.12
64,BDX,0.6,-1.93,47,-90.79
65,BRK-B,0.6,-1.29,43,-55.46
66,BBY,0.75,0.99,36,35.77
67,BIO,0.76,1.79,41,73.28
68,BIIB,0.65,1.12,37,41.35
69,BLK,0.67,-0.54,45,-24.34
70,BA,0.46,-2.09,41,-85.58
71,BKNG,0.74,28.1,39,1095.76
72,BWA,0.75,0.37,51,18.96
73,BXP,0.72,-0.27,40,-10.94
74,BSX,0.63,-0.08,46,-3.88
75,BMY,0.57,-0.23,54,-12.34
76,AVGO,0.85,4.8,40,192.11
77,BR,0.71,0.14,49,6.97
78,BF-B,0.77,0.14,47,6.54
79,CHRW,0.81,0.64,47,29.92
80,COG,0.74,0.18,35,6.17
81,CDNS,0.84,1.04,44,45.68
82,CPB,0.84,0.78,45,35.04
83,COF,0.76,0.45,45,20.46
84,CAH,0.55,-0.37,47,-17.36
85,KMX,0.8,1.44,40,57.44
86,CCL,0.8,0.74,35,25.81
87,CARR,0.79,0.48,42,20.14
88,CTLT,0.73,0.49,48,23.74
89,CAT,0.8,1.48,40,59.13
90,CBOE,0.54,-0.52,35,-18.37
91,CBRE,0.68,0.15,40,6.19
92,CDW,0.62,-0.74,42,-30.88
93,CE,0.66,0.66,47,30.91
94,CNC,0.73,0.54,41,22.34
95,CNP,0.73,0.22,44,9.62
96,CERN,0.68,0.25,41,10.31
97,CF,0.7,0.25,46,11.31
98,SCHW,0.7,0.09,43,4.08
99,CHTR,0.74,2.54,43,109.33
100,CVX,0.63,0.28,46,12.89
101,CMG,0.81,10.78,37,398.86
102,CB,0.6,0.21,50,10.49
103,CHD,0.61,-0.04,44,-1.74
104,CI,0.63,-0.46,43,-19.96
105,CINF,0.65,-0.42,49,-20.34
106,CTAS,0.54,-3.05,41,-124.98
107,CSCO,0.64,-0.08,47,-3.75
108,C,0.78,0.33,49,16.2
109,CFG,0.8,0.36,45,16.34
110,CTXS,0.7,0.95,44,41.73
111,CLX,0.56,-1.04,41,-42.62
112,CME,0.7,1.85,44,81.33
113,CMS,0.5,-0.92,48,-44.22
114,KO,0.55,-0.3,47,-14.27
115,CTSH,0.64,-0.21,47,-9.78
116,CL,0.51,-0.39,45,-17.33
117,CMCSA,0.72,-0.07,47,-3.31
118,CMA,0.76,0.62,37,23.09
119,CAG,0.74,0.13,47,5.97
120,COP,0.67,0.31,43,13.34
121,ED,0.56,-0.74,45,-33.44
122,STZ,0.73,1.07,41,43.82
123,COO,0.61,-0.84,49,-41.4
124,CPRT,0.59,-0.85,46,-38.99
125,GLW,0.56,-0.33,43,-14.23
126,CTVA,0.59,-0.19,49,-9.2
127,COST,0.63,1.19,41,48.68
128,CCI,0.56,-1.62,39,-63.07
129,CSX,0.63,-0.13,43,-5.55
130,CMI,0.71,0.64,49,31.14
131,CVS,0.64,0.05,42,2.19
132,DHI,0.7,0.45,40,17.85
133,DHR,0.65,0.69,43,29.72
134,DRI,0.76,1.36,37,50.39
135,DVA,0.65,-0.54,46,-24.67
136,DE,0.85,3.08,46,141.85
137,DAL,0.71,0.48,41,19.85
138,XRAY,0.54,-0.31,41,-12.84
139,DVN,0.6,0.01,42,0.35
140,DXCM,0.78,3.49,37,129.02
141,FANG,0.7,0.4,43,17.04
142,DLR,0.61,-0.88,41,-35.9
143,DFS,0.83,0.67,42,28.28
144,DISCA,0.69,0.07,45,3.33
145,DISCK,0.71,0.23,52,12.05
146,DISH,0.61,-0.02,38,-0.83
147,DG,0.68,0.22,47,10.34
148,DLTR,0.51,-0.91,39,-35.67
149,D,0.67,-0.3,43,-12.69
150,DPZ,0.73,1.67,41,68.45
151,DOV,0.57,-0.46,42,-19.43
152,DOW,0.74,0.4,47,18.77
153,DTE,0.7,0,47,0.19
154,DUK,0.65,0.05,48,2.29
155,DRE,0.74,0.18,46,8.07
156,DD,0.64,-0.06,45,-2.91
157,DXC,0.6,0.07,48,3.55
158,EMN,0.8,0.92,45,41.55
159,ETN,0.65,-0.34,49,-16.79
160,EBAY,0.74,0.28,38,10.66
161,ECL,0.66,0.08,41,3.19
162,EIX,0.63,0.03,49,1.49
163,EW,0.63,-0.38,43,-16.26
164,EA,0.8,1.09,40,43.52
165,EMR,0.67,0.71,45,31.77
166,ENPH,0.82,3.39,40,135.67
167,ETR,0.63,-0.17,43,-7.34
168,EOG,0.67,0.47,48,22.32
169,EFX,0.62,-0.58,45,-26.25
170,EQIX,0.6,-7.39,42,-310.33
171,EQR,0.72,-0.01,43,-0.28
172,ESS,0.73,0.84,45,37.88
173,EL,0.67,-0.07,48,-3.57
174,ETSY,0.73,1.01,37,37.45
175,EVRG,0.52,-0.79,52,-41.19
176,ES,0.41,-1.61,41,-65.94
177,RE,0.59,-1.45,41,-59.3
178,EXC,0.59,-0.13,49,-6.42
179,EXPE,0.73,0.96,45,43.38
180,EXPD,0.76,0.41,51,21.15
181,EXR,0.79,0.67,39,26.01
182,XOM,0.56,-0.16,43,-6.89
183,FFIV,0.8,1.2,41,49.12
184,FB,0.59,-1.64,46,-75.4
185,FAST,0.73,-0.03,52,-1.39
186,FRT,0.68,0.29,44,12.79
187,FDX,0.7,1.87,44,82.07
188,FIS,0.61,-1.13,44,-49.5
189,FITB,0.76,0.06,41,2.4
190,FE,0.68,-0.24,41,-10.03
191,FRC,0.68,0.25,40,9.91
192,FISV,0.67,-0.22,49,-10.68
193,FLT,0.54,-2.53,39,-98.8
194,FLIR,0.76,0.58,41,23.95
195,FLS,0.57,-0.09,40,-3.58
196,FMC,0.62,-0.13,47,-6.13
197,F,0.67,0.02,39,0.7
198,FTNT,0.8,0.87,35,30.54
199,FTV,0.65,0.18,40,7.13
200,FBHS,0.85,1.09,46,50.23
201,FOXA,0.71,0.19,41,7.99
202,FOX,0.77,0.33,44,14.46
203,BEN,0.72,0.08,47,3.56
204,FCX,0.81,0.18,47,8.23
205,GPS,0.68,0.1,44,4.34
206,GRMN,0.68,-0.46,40,-18.45
207,IT,0.61,0.26,41,10.5
208,GD,0.5,-1.01,48,-48.29
209,GE,0.54,-0.1,48,-4.97
210,GIS,0.56,-0.27,41,-11.17
211,GM,0.67,0.3,43,12.98
212,GPC,0.79,0.14,43,6.01
213,GILD,0.58,-0.26,43,-11.13
214,GL,0.67,-0.23,48,-10.84
215,GPN,0.72,0.42,47,19.71
216,GS,0.61,-2.47,36,-88.84
217,GWW,0.65,-0.06,43,-2.76
218,HAL,0.8,0.42,41,17.13
219,HBI,0.59,-0.02,49,-1.01
220,HIG,0.66,0.12,44,5.38
221,HAS,0.65,0.21,48,10.12
222,HCA,0.73,0.86,41,35.13
223,PEAK,0.75,0.07,44,3.17
224,HSIC,0.71,0.56,42,23.57
225,HSY,0.45,-1.84,42,-77.18
226,HES,0.62,0.48,42,20.27
227,HPE,0.61,0.04,41,1.75
228,HLT,0.61,0.05,44,2.35
229,HFC,0.55,-0.26,49,-12.75
230,HOLX,0.72,-0.21,39,-8.18
231,HD,0.79,2.15,38,81.57
232,HON,0.68,0.21,50,10.31
233,HRL,0.63,-0,41,-0
234,HST,0.65,0.06,48,2.99
235,HWM,0.76,0.24,37,9
236,HPQ,0.61,-0.02,44,-1.06
237,HUM,0.45,-3.86,42,-162.12
238,HBAN,0.74,0.1,47,4.71
239,HII,0.68,0.42,40,16.83
240,IEX,0.76,1.1,42,45.99
241,IDXX,0.84,3.97,43,170.77
242,INFO,0.76,0.58,46,26.47
243,ITW,0.64,0.42,44,18.37
244,ILMN,0.73,2.47,44,108.75
245,INCY,0.68,0.39,38,14.67
246,IR,0.64,-0.02,45,-0.94
247,INTC,0.73,-0.09,44,-3.75
248,ICE,0.78,0.35,37,13.04
249,IBM,0.56,-0.67,43,-28.69
250,IP,0.62,-0.21,45,-9.64
251,IPG,0.75,0.15,48,7.03
252,IFF,0.55,-0.63,51,-32.23
253,INTU,0.79,1.94,48,93.21
254,ISRG,0.64,0.16,45,7.31
255,IVZ,0.61,-0.05,49,-2.27
256,IPGP,0.6,-0.61,43,-26.3
257,IQV,0.78,1.52,46,70.08
258,IRM,0.58,-0.29,43,-12.62
259,JKHY,0.63,-0.39,46,-18.07
260,J,0.62,-0.4,48,-19.42
261,JBHT,0.73,1.01,48,48.35
262,SJM,0.74,0.84,53,44.67
263,JNJ,0.65,-0.45,51,-22.84
264,JCI,0.84,0.55,43,23.47
265,JPM,0.59,-0.43,44,-18.74
266,JNPR,0.8,0.16,46,7.16
267,KSU,0.7,1.17,43,50.31
268,K,0.5,-0.57,32,-18.12
269,KEY,0.82,0.22,38,8.44
270,KEYS,0.69,0.1,48,4.98
271,KMB,0.53,-0.21,47,-10.09
272,KIM,0.68,-0.01,38,-0.43
273,KMI,0.57,-0.08,46,-3.72
274,KLAC,0.78,0.96,46,44.19
275,KHC,0.79,0.34,43,14.65
276,KR,0.71,0.31,45,14.04
277,LB,0.74,0.49,38,18.59
278,LHX,0.59,0.02,41,0.62
279,LH,0.72,1.63,36,58.69
280,LRCX,0.74,0.99,39,38.54
281,LW,0.55,-0.76,42,-31.8
282,LVS,0.71,0.16,42,6.72
283,LEG,0.73,0.18,45,8.17
284,LDOS,0.66,0.06,41,2.42
285,LEN,0.77,0.7,44,30.91
286,LLY,0.67,0.39,42,16.3
287,LNC,0.67,-0.12,42,-4.93
288,LIN,0.67,0.18,43,7.82
289,LYV,0.8,1.26,35,43.96
290,LKQ,0.62,0.07,45,3
291,LMT,0.57,0.69,40,27.75
292,L,0.72,-0.14,46,-6.26
293,LOW,0.74,0.78,39,30.41
294,LUMN,0.67,0.06,42,2.33
295,LYB,0.68,0.13,41,5.4
296,MTB,0.69,0.72,42,30.38
297,MRO,0.58,0.02,45,1.05
298,MPC,0.61,-0.06,44,-2.57
299,MKTX,0.57,-2.1,40,-83.88
300,MAR,0.7,0.93,37,34.33
301,MMC,0.68,-0.27,53,-14.15
302,MLM,0.72,1.8,46,82.86
303,MAS,0.69,0.07,39,2.6
304,MA,0.68,-0.51,41,-20.93
305,MKC,0.73,0.11,45,5.01
306,MXIM,0.83,0.94,41,38.54
307,MCD,0.62,-0.15,45,-6.78
308,MCK,0.59,-0.64,44,-28.03
309,MDT,0.72,0.41,46,19.08
310,MRK,0.52,-0.41,46,-19.01
311,MET,0.58,-0.06,53,-3.43
312,MTD,0.74,4.03,43,173.48
313,MGM,0.74,0.2,46,9.1
314,MCHP,0.7,1.07,43,45.93
315,MU,0.73,0.48,45,21.38
316,MSFT,0.72,-0.4,46,-18.33
317,MAA,0.63,0.19,43,8.1
318,MHK,0.73,0.52,37,19.1
319,TAP,0.72,0.28,40,11.12
320,MDLZ,0.59,-0.23,49,-11.16
321,MPWR,0.67,-0.12,43,-5.33
322,MNST,0.69,-0.03,39,-0.98
323,MCO,0.57,-1.91,44,-83.89
324,MS,0.65,-0.05,48,-2.29
325,MOS,0.58,-0.06,43,-2.55
326,MSI,0.6,-0.64,42,-26.88
327,MSCI,0.74,-0.23,38,-8.63
328,NDAQ,0.77,0.3,39,11.77
329,NTAP,0.62,-0.11,47,-5.37
330,NFLX,0.62,-0.5,39,-19.68
331,NWL,0.76,0.12,45,5.44
332,NEM,0.62,-0.08,39,-3.21
333,NWSA,0.68,0.02,38,0.72
334,NWS,0.64,-0.03,44,-1.11
335,NEE,0.51,-0.42,49,-20.51
336,NLSN,0.6,-0.04,42,-1.7
337,NKE,0.76,0.53,45,23.95
338,NI,0.59,-0.1,51,-5.05
339,NSC,0.72,0.89,39,34.61
340,NTRS,0.6,-0.37,45,-16.74
341,NOC,0.51,-2.35,45,-105.66
342,NLOK,0.66,0.06,44,2.81
343,NCLH,0.58,-0.1,38,-3.93
344,NOV,0.74,0.13,43,5.66
345,NRG,0.73,0.39,45,17.77
346,NUE,0.7,-0.07,46,-3.02
347,NVDA,0.83,3.91,42,164.32
348,NVR,0.62,40.58,39,1582.54
349,ORLY,0.77,3.27,39,127.68
350,OXY,0.49,0.01,45,0.3
351,ODFL,0.6,-0.75,42,-31.69
352,OMC,0.65,0.18,51,9.36
353,OKE,0.67,0.16,48,7.74
354,ORCL,0.63,0.13,41,5.41
355,OTIS,0.74,0.78,47,36.5
356,PCAR,0.67,0.44,42,18.64
357,PKG,0.69,1.33,45,59.67
358,PH,0.67,0.47,48,22.68
359,PAYX,0.68,0.05,44,2.29
360,PAYC,0.76,3.04,41,124.79
361,PYPL,0.81,1.61,42,67.57
362,PNR,0.66,0.11,44,4.67
363,PBCT,0.64,-0.13,39,-4.9
364,PEP,0.62,-0.68,52,-35.41
365,PKI,0.73,0.96,37,35.46
366,PRGO,0.56,0.03,41,1.43
367,PFE,0.69,0.04,42,1.69
368,PM,0.71,-0.02,48,-0.85
369,PSX,0.64,-0.3,42,-12.43
370,PNW,0.61,-0.11,44,-4.94
371,PXD,0.74,1.76,46,80.76
372,PNC,0.67,-0.64,48,-30.53
373,POOL,0.76,-0.18,41,-7.21
374,PPG,0.63,-0.01,46,-0.57
375,PPL,0.61,-0,41,-0.15
376,PFG,0.63,-0.04,49,-2.12
377,PG,0.62,-0.41,50,-20.64
378,PGR,0.6,-0.76,42,-31.79
379,PLD,0.64,-0.12,42,-5.17
380,PRU,0.63,-0.07,54,-3.9
381,PEG,0.65,0.19,46,8.76
382,PSA,0.61,-0.22,44,-9.57
383,PHM,0.76,0.33,33,10.78
384,PVH,0.7,0.53,37,19.52
385,QRVO,0.68,0.29,40,11.76
386,PWR,0.76,0.58,41,23.65
387,QCOM,0.74,0.23,42,9.84
388,DGX,0.75,0.62,40,24.8
389,RL,0.73,1.24,41,50.78
390,RJF,0.72,0.21,50,10.71
391,RTX,0.62,0.08,37,3.08
392,O,0.74,0.43,39,16.61
393,REG,0.64,-0.07,39,-2.6
394,REGN,0.66,3.55,41,145.5
395,RF,0.79,0.16,43,6.69
396,RSG,0.63,0,46,0.1
397,RMD,0.76,-0.4,51,-20.32
398,RHI,0.64,0.34,44,15.01
399,ROK,0.63,-0.62,43,-26.84
400,ROL,0.7,-0.06,43,-2.52
401,ROP,0.6,-1.55,45,-69.56
402,ROST,0.67,0.38,43,16.15
403,RCL,0.64,0.02,44,0.98
404,SPGI,0.66,-0.56,44,-24.47
405,CRM,0.74,2.31,42,97.03
406,SBAC,0.44,-4.11,43,-176.76
407,SLB,0.56,-0.22,43,-9.48
408,STX,0.69,0.18,42,7.66
409,SEE,0.6,0.1,42,4.36
410,SRE,0.6,-0.38,47,-18.07
411,NOW,0.77,2.89,56,161.65
412,SHW,0.7,0.8,43,34.2
413,SPG,0.75,1.22,40,48.79
414,SWKS,0.68,0.29,41,11.96
415,SLG,0.76,0.5,37,18.51
416,SNA,0.67,-0.03,43,-1.18
417,SO,0.65,-0.16,46,-7.15
418,LUV,0.67,0.22,43,9.59
419,SWK,0.69,1.67,49,81.88
420,SBUX,0.82,0.89,50,44.72
421,STT,0.6,-0.28,42,-11.85
422,STE,0.66,-0.21,44,-9.11
423,SYK,0.73,1.2,44,52.73
424,SIVB,0.71,1.67,49,81.82
425,SYF,0.75,0.13,40,5.32
426,SNPS,0.81,2.46,42,103.36
427,SYY,0.67,0.5,45,22.68
428,TMUS,0.78,0.6,46,27.5
429,TROW,0.7,0.35,46,15.89
430,TTWO,0.86,1.73,44,76.08
431,TPR,0.7,0.34,44,14.9
432,TGT,0.69,-0.81,42,-34.13
433,TEL,0.71,0.59,42,24.82
434,TDY,0.72,1.39,43,59.58
435,TFX,0.73,2.35,49,115.18
436,TER,0.74,0.12,39,4.58
437,TSLA,0.66,-1.46,35,-51.12
438,TXN,0.78,0.43,46,19.74
439,TXT,0.65,-0.19,43,-8.33
440,TMO,0.82,2.11,38,80.2
441,TJX,0.6,-0.19,48,-9.27
442,TSCO,0.73,0.54,41,22.18
443,TT,0.58,-0.7,38,-26.73
444,TDG,0.79,4.96,38,188.37
445,TRV,0.67,0.32,49,15.6
446,TRMB,0.69,0.43,48,20.55
447,TFC,0.7,0.07,44,3.06
448,TWTR,0.81,0.38,42,15.83
449,TYL,0.86,4.99,49,244.29
450,TSN,0.74,0.67,39,26.03
451,UDR,0.67,-0.03,46,-1.53
452,ULTA,0.8,4.14,44,182.1
453,USB,0.67,-0.07,48,-3.28
454,UAA,0.68,0.07,44,2.9
455,UA,0.79,0.17,42,7.24
456,UNP,0.71,0.61,41,25.17
457,UAL,0.63,-0.2,41,-8.07
458,UNH,0.61,-0.77,46,-35.22
459,UPS,0.68,0.67,41,27.27
460,URI,0.74,2.21,42,92.65
461,UHS,0.7,0.13,50,6.66
462,UNM,0.78,0.19,41,7.9
463,VLO,0.6,-0.13,45,-5.87
464,VAR,0.72,0.18,36,6.51
465,VTR,0.67,0.29,43,12.37
466,VRSN,0.78,0.76,45,34.27
467,VRSK,0.73,-0.17,37,-6.4
468,VZ,0.54,-0.09,39,-3.37
469,VRTX,0.73,2.32,37,85.67
470,VFC,0.68,-0.36,44,-15.87
471,VIAC,0.85,0.51,41,20.96
472,VTRS,0.72,0.26,43,11.1
473,V,0.64,-0.91,45,-40.91
474,VNT,0.65,0.25,17,4.3
475,VNO,0.77,0.66,39,25.84
476,VMC,0.68,1.31,40,52.45
477,WRB,0.64,-0.39,45,-17.6
478,WAB,0.61,0.01,44,0.44
479,WMT,0.61,-0.16,41,-6.46
480,WBA,0.69,0.38,35,13.4
481,DIS,0.64,1.11,44,48.7
482,WM,0.57,-0.07,42,-3.11
483,WAT,0.63,0.92,46,42.45
484,WEC,0.59,-0.7,37,-25.82
485,WFC,0.67,-0.13,46,-6.04
486,WELL,0.72,0.07,40,2.94
487,WST,0.67,0.94,43,40.56
488,WDC,0.68,-0.07,41,-2.73
489,WU,0.62,-0.04,45,-1.87
490,WRK,0.76,0.44,42,18.42
491,WY,0.77,0.38,48,18.18
492,WHR,0.73,1.27,44,55.89
493,WMB,0.65,0,54,0.25
494,WLTW,0.59,-1.27,41,-51.9
495,WYNN,0.69,1.37,49,66.94
496,XEL,0.64,-0.28,36,-9.94
497,XRX,0.69,0.11,45,4.86
498,XLNX,0.78,0.84,41,34.58
499,XYL,0.62,0.13,50,6.31
500,YUM,0.77,0.87,47,40.86
501,ZBRA,0.72,1.21,40,48.53
502,ZBH,0.56,-0.59,43,-25.51
503,ZION,0.78,0.46,36,16.53
504,ZTS,0.67,1.06,43,45.42
