,Symbol,Win%,ExpectedValue,TotalEvents,PnL
0,MMM,0.52,0.51,46,23.45
1,ABT,0.56,0.42,41,17.37
2,ABBV,0.52,0.44,48,21.1
3,ABMD,0.66,2.04,41,83.62
4,ACN,0.61,1.41,46,64.79
5,ATVI,0.57,0.49,42,20.46
6,ADBE,0.66,3.95,38,150.2
7,AMD,0.49,0.68,43,29.19
8,AAP,0.5,0.2,42,8.52
9,AES,0.61,0.1,38,3.93
10,AFL,0.58,0.08,50,4.2
11,A,0.67,0.94,42,39.45
12,APD,0.57,0.89,46,41.1
13,AKAM,0.55,0.79,38,30.19
14,ALK,0.55,0.55,44,24.03
15,ALB,0.59,0.67,51,34.05
16,ARE,0.47,-0.19,47,-8.97
17,ALXN,0.58,0.81,36,29.06
18,ALGN,0.52,2.7,44,118.75
19,ALLE,0.45,-0.13,42,-5.63
20,LNT,0.44,-0.02,43,-1.05
21,ALL,0.57,0.4,46,18.42
22,GOOGL,0.52,2.18,46,100.49
23,GOOG,0.61,7.34,46,337.82
24,MO,0.49,-0.04,45,-1.98
25,AMZN,0.62,30.25,40,1209.83
26,AMCR,0.57,0.11,46,4.9
27,AEE,0.4,-0.17,47,-8.17
28,AAL,0.41,-0.01,37,-0.21
29,AEP,0.44,-0.2,34,-6.72
30,AXP,0.46,-0.09,39,-3.69
31,AIG,0.51,-0.16,43,-6.8
32,AMT,0.39,-0.87,44,-38.2
33,AWK,0.35,-0.82,43,-35.2
34,AMP,0.45,-0.09,51,-4.55
35,ABC,0.52,1.14,44,49.98
36,AME,0.62,0.84,37,31.07
37,AMGN,0.43,0.57,44,24.97
38,APH,0.58,0.39,45,17.6
39,ADI,0.65,1.56,46,71.63
40,ANSS,0.53,1.7,43,73.1
41,ANTM,0.38,-1.16,42,-48.87
42,AON,0.51,-0.59,41,-23.99
43,AOS,0.55,0.27,44,11.88
44,APA,0.45,0.03,47,1.23
45,AAPL,0.6,0.53,43,22.6
46,AMAT,0.59,0.72,44,31.73
47,APTV,0.62,1.0,52,51.87
48,ADM,0.64,0.34,47,15.75
49,ANET,0.5,-0.13,48,-6.31
50,AJG,0.6,0.63,40,25.16
51,AIZ,0.59,0.6,39,23.57
52,T,0.47,-0.08,45,-3.68
53,ATO,0.36,-0.78,39,-30.35
54,ADSK,0.7,3.67,44,161.29
55,ADP,0.56,0.64,48,30.52
56,AZO,0.51,0.61,43,26.3
57,AVB,0.59,0.82,44,35.87
58,AVY,0.5,0.25,42,10.3
59,BKR,0.53,0.12,36,4.49
60,BLL,0.49,-0.24,37,-8.74
61,BAC,0.49,0.16,47,7.43
62,BK,0.52,0.19,46,8.56
63,BAX,0.58,0.53,52,27.78
64,BDX,0.5,0.55,50,27.63
65,BRK-B,0.56,-0.12,48,-5.65
66,BBY,0.53,0.11,38,4.09
67,BIO,0.6,3.08,40,123.12
68,BIIB,0.37,0.85,35,29.64
69,BLK,0.61,1.93,49,94.68
70,BA,0.38,-0.77,47,-36.15
71,BKNG,0.42,-3.01,45,-135.5
72,BWA,0.61,0.48,41,19.82
