,Company,Events,AtAbove,Below,Middle
0,MMM,201,0.592039801,0.323383085,0.084577114
1,ABT,216,0.583333333,0.287037037,0.12962963
2,ABBV,195,0.512820513,0.302564103,0.184615385
3,ABMD,203,0.615763547,0.221674877,0.162561576
4,ACN,221,0.601809955,0.280542986,0.117647059
5,ATVI,204,0.573529412,0.323529412,0.102941176
6,ADBE,218,0.596330275,0.30733945,0.096330275
7,AMD,195,0.579487179,0.302564103,0.117948718
8,AAP,205,0.541463415,0.331707317,0.126829268
9,AES,211,0.578199052,0.293838863,0.127962085
10,AFL,225,0.582222222,0.302222222,0.115555556
11,A,229,0.558951965,0.323144105,0.11790393
12,APD,226,0.548672566,0.318584071,0.132743363
13,AKAM,223,0.605381166,0.291479821,0.103139013
14,ALK,217,0.548387097,0.35483871,0.096774194
15,ALB,217,0.525345622,0.35483871,0.119815668
16,ARE,230,0.6,0.273913043,0.126086957
17,ALXN,183,0.573770492,0.300546448,0.12568306
18,ALGN,200,0.575,0.285,0.14
19,ALLE,220,0.563636364,0.318181818,0.118181818
20,LNT,221,0.615384615,0.235294118,0.149321267
21,ALL,217,0.543778802,0.3640553,0.092165899
22,GOOGL,197,0.573604061,0.314720812,0.111675127
23,GOOG,193,0.569948187,0.305699482,0.124352332
24,MO,206,0.553398058,0.291262136,0.155339806
25,AMZN,205,0.619512195,0.287804878,0.092682927
26,AMCR,140,0.364285714,0.228571429,0.407142857
27,AEE,208,0.605769231,0.274038462,0.120192308
28,AAL,210,0.49047619,0.342857143,0.166666667
29,AEP,205,0.619512195,0.297560976,0.082926829
30,AXP,210,0.585714286,0.304761905,0.10952381
31,AIG,234,0.534188034,0.324786325,0.141025641
32,AMT,224,0.558035714,0.3125,0.129464286
33,AWK,211,0.625592417,0.28436019,0.090047393
34,AMP,234,0.594017094,0.316239316,0.08974359
35,ABC,211,0.597156398,0.27014218,0.132701422
36,AME,228,0.618421053,0.293859649,0.087719298
37,AMGN,211,0.592417062,0.298578199,0.109004739
38,APH,229,0.615720524,0.279475983,0.104803493
39,ADI,212,0.556603774,0.311320755,0.132075472
40,ANSS,209,0.622009569,0.282296651,0.09569378
41,ANTM,211,0.601895735,0.289099526,0.109004739
42,AON,219,0.625570776,0.260273973,0.114155251
43,AOS,214,0.593457944,0.313084112,0.093457944
44,APA,202,0.53960396,0.376237624,0.084158416
45,AAPL,204,0.661764706,0.235294118,0.102941176
46,AMAT,217,0.539170507,0.359447005,0.101382488
47,APTV,228,0.51754386,0.364035088,0.118421053
48,ADM,210,0.557142857,0.314285714,0.128571429
49,ANET,201,0.626865672,0.263681592,0.109452736
50,AJG,231,0.61038961,0.233766234,0.155844156
51,AIZ,218,0.582568807,0.256880734,0.160550459
52,T,219,0.570776256,0.296803653,0.132420091
53,ATO,207,0.608695652,0.270531401,0.120772947
54,ADSK,214,0.640186916,0.294392523,0.065420561
55,ADP,224,0.558035714,0.325892857,0.116071429
56,AZO,198,0.575757576,0.297979798,0.126262626
57,AVB,223,0.65470852,0.260089686,0.085201794
58,AVY,210,0.566666667,0.304761905,0.128571429
59,BKR,199,0.552763819,0.326633166,0.120603015
60,BLL,209,0.559808612,0.291866029,0.148325359
61,BAC,214,0.556074766,0.313084112,0.130841121
